Species,Virus name,Isolate,Accession,Available sequence,Abbrev
Abutilon golden mosaic virus,Abutilon golden mosaic virus,Mexico/Yucatan/2007,DNA-A: KC430935,Complete genome,AbGMV
Abutilon mosaic Bolivia virus,Abutilon mosaic Bolivia virus,Bolivia/2007,DNA-A: HM585445;DNA-B: HM585446,Complete genome,AbMBoV
Abutilon mosaic Brazil virus,Abutilon mosaic Brazil virus,Brazil/BGV01A.1.C21,DNA-A: JF694480;DNA-B: JF694479,Complete genome,AbMBV
Abutilon mosaic virus,Abutilon mosaic virus,Germany,DNA-A: X15983;DNA-B: X15984,Complete genome,AbMV
African cassava mosaic Burkina Faso virus,African cassava mosaic Burkina Faso virus,BF-Oua-127-08,DNA-A: HE616777;DNA-B: HE616778,Complete genome,ACMBFV
African cassava mosaic virus,African cassava mosaic virus,Cameroon/1998,DNA-A: J02057;DNA-B: J02058,Complete genome,ACMV
Ageratum enation virus,Ageratum enation virus,Nepal/1999/Nepal,AJ437618,Complete genome,AEV/NP
Ageratum enation virus,Ageratum enation virus,India/Kangra/2008/India,FN543099,Complete genome,AEV/IN
Ageratum enation virus,Ageratum enation virus,India/Uttar Pradesh/SKS/P/2010/Uttar Pradesh,DNA-A: HM149260,Complete genome,AEV/UP
Ageratum leaf curl Sichuan virus,Ageratum leaf curl Sichuan virus,CN-Sc-SC770-16,MG917697,Complete genome,ALCScV
Ageratum leaf curl virus,Ageratum leaf curl virus,China/Guangxi 52/2003,AJ851005,Complete genome,ALCuV
Ageratum yellow vein Hualian virus,Ageratum yellow vein Hualian virus,Taiwan/Hualian 4/2000,DNA-A: DQ866132,Complete genome,AYVV/Hua
Ageratum yellow vein Hualian virus,Ageratum yellow vein Hualian virus,Taiwan/Hsinchu/Tom/2003/Hsinchu,DNA-A: DQ866124,Complete genome,AYVV/Hsi
Ageratum yellow vein Sri Lanka virus,Ageratum yellow vein Sri Lanka virus,Sri Lanka/1999,DNA-A: AF314144,Complete genome,AYVSLV
Ageratum yellow vein virus,Ageratum yellow vein virus,China/Guangxi 129/2005/Guanxi,DNA-A: AJ495813,Complete genome,AYVV/Gx
Ageratum yellow vein virus,Ageratum yellow vein virus,Japan/Soybean crinkle leaf,AB050781,Complete genome,AYVV
Ageratum yellow vein virus,Ageratum yellow vein virus,China/Tomato/2012/China,KC172826,Complete genome,AYVV/CN
Ageratum yellow vein virus,Ageratum yellow vein virus,Indonesia/Tomato/Indonesia,AB100305,Complete genome,AYVV/ID
Ageratum yellow vein virus,Ageratum yellow vein virus,Thailand/Kamphaengsaen/AFSP3d/2010/Kamphaengsaen,DNA-A: JN809816,Complete genome,AYVV/Ka
Ageratum yellow vein virus,Ageratum yellow vein virus,China/Nanning/NN1/2009/Nanning,JQ804985,Complete genome,AYVV/NN
Ageratum yellow vein virus,Ageratum yellow vein virus,Philippines/Mindanao/2007/Philippines,DNA-A: EU487045,Complete genome,AYVV/PH
Ageratum yellow vein virus,Ageratum yellow vein virus,Japan/Ishigaki/2005/Singapore,AB306314,Complete genome,AYVV/SG
Ageratum yellow vein virus,Ageratum yellow vein virus,Taiwan/Tainan/1999/Taiwan,DNA-A: AF307861,Complete genome,AYVV/TW
Ageratum yellow vein virus,Ageratum yellow vein virus,Thailand/Kamphaengsaen/AFSP6b/2010/Thailand,DNA-A: JN809820,Complete genome,AYVV/TH
Allamanda leaf curl virus,Allamanda leaf curl virus,China/Guandong 10/2006,DNA-A: EF602306,Complete genome,AllLCV/A
Allamanda leaf mottle distortion virus,Allamanda leaf mottle distortion virus,India-Al_K1-2012,DNA-A: KC202818;DNA-B: MG969497,Complete genome,AllLMoDV
Alternanthera yellow vein virus,Alternanthera yellow vein virus,China/Guangxi/G38/2005,DNA-A: AJ965540,Complete genome,AlYVV
Alternanthera yellow vein virus,Alternanthera yellow vein virus,China/Fujian 22/2006/A,DNA-A: EF544604,Complete genome,AlYVV/A
Alternanthera yellow vein virus,Alternanthera yellow vein virus,China/Fujian/PT1/2006/B,DNA-A: EF544602,Complete genome,AlYVV/B
Andrographis yellow vein leaf curl virus,Andrographis yellow vein leaf curl virus,India-A64-2012,KM359406,Complete genome,AnYVLCV
Asystasia mosaic Madagascar virus,Asystasia mosaic Madagascar virus,Madagascar-MG493-2011,DNA-A: KP663485;DNA-B: KP663484,Complete genome,AsMMV
Bean bushy stunt virus,bean bushy stunt virus,AR- General Mosconi-17,DNA-A: MN414067;DNA-B: MN414068,Complete genome,BBSV
Bean calico mosaic virus,bean calico mosaic virus,Mexico/Sonora/1986,DNA-A: AF110189;DNA-B: AF110190,Complete genome,BChV
Bean chlorosis virus,bean chlorosis virus,Venezuela/LaBarinesa459/2006,DNA-A: JN848770;DNA-B: JN848771,Complete genome,BChMV
Bean dwarf mosaic virus,bean dwarf mosaic virus,Colombia/1987,DNA-A: M88179;DNA-B: M88180,Complete genome,BDMV
